Portfolio,Method,Eq%,PaidIn,TakenOut,EndValue,Received,RealRecvd,IRR%,bootRecvd,P(real<paid)%,medDD%
58yo 60/40,Hand-set,60.0,214400.0,73030.51,403452.22,477971.26,267823.8,4.55,846168.67,5.39,-14.89
58yo 60/40,HRP-in-sleeves,60.0,214400.0,72957.29,402878.47,477246.19,267438.08,4.54,698192.16,5.02,-14.33
58yo 60/40,NCO-in-sleeves,60.0,214400.0,73508.57,409270.34,484181.38,271183.32,4.62,800657.32,3.56,-13.1
58yo 60/40,HRP unconstrained,2.8,214400.0,64314.57,312139.91,376587.8,212353.61,3.26,250337.16,0.27,-2.35
58yo 60/40,NCO min-var unconstrained,0.0,214400.0,64001.08,309015.11,373097.86,210439.48,3.21,232008.01,0.01,-1.42
64yo 25/75,Hand-set,25.0,171200.0,67813.6,230594.52,298416.94,186878.63,3.78,295653.05,4.03,-6.53
64yo 25/75,HRP-in-sleeves,25.0,171200.0,67910.78,231400.77,299307.29,187424.8,3.8,269502.49,2.15,-5.27
64yo 25/75,NCO-in-sleeves,25.0,171200.0,68181.53,233127.66,301341.85,188644.92,3.84,275848.21,0.83,-4.28
64yo 25/75,HRP unconstrained,2.8,171200.0,64376.68,211348.35,275729.41,172913.69,3.26,195637.14,0.56,-2.28
64yo 25/75,NCO min-var unconstrained,0.0,171200.0,64048.52,209567.89,273602.5,171615.83,3.21,183284.94,0.03,-1.39
