Date,World,EM,GlobalBond,ShortBond,SmallCap,InflLinked,Carmignac
2005-01-31,8.99,,,,,,
2005-02-28,9.11,,,,,,
2005-03-31,9.12,,,,,,
2005-04-30,8.98,,,,,,
2005-05-31,9.56,,,,,80.99,
2005-06-30,9.83,,,,,82.07,
2005-07-31,10.14,,,,,82.17,
2005-08-31,10.09,,,,,83.58,
2005-09-30,10.55,,,,,83.83,
2005-10-31,10.36,,,,,82.3,
2005-11-30,10.87,,,,,81.81,
2005-12-31,11.1,,,,,83.45,
2006-01-31,11.26,,,,,82.44,
2006-02-28,11.44,,,,,82.52,
2006-03-31,11.52,,,,,80.54,
2006-04-30,11.4,,,,,79.67,
2006-05-31,10.79,,,,,80.0,
2006-06-30,10.84,80.93,,,,80.28,
2006-07-31,10.93,81.9,,,,81.32,
2006-08-31,11.17,83.43,,,,82.64,
2006-09-30,11.42,85.77,,,,82.54,
2006-10-31,11.75,89.17,,,,82.67,
2006-11-30,11.58,92.18,,,,83.71,
2006-12-31,11.88,96.68,,,,81.8,
2007-01-31,12.19,97.01,,,,81.12,
2007-02-28,11.93,94.8,,,,82.09,
2007-03-31,12.05,97.94,,,,81.39,
2007-04-30,12.26,99.88,,,,81.34,
2007-05-31,12.78,106.41,,,,80.42,
2007-06-30,12.64,111.04,,,,79.69,
2007-07-31,12.19,115.23,,,,81.12,
2007-08-31,12.23,113.27,,,,81.76,
2007-09-30,12.28,120.66,,,,81.88,
2007-10-31,12.43,131.87,,,,83.11,
2007-11-30,11.75,120.57,,,,83.88,
2007-12-31,11.64,121.6,,,,83.33,
2008-01-31,10.61,104.97,,,,85.72,
2008-02-29,10.28,109.83,,,,86.59,
2008-03-31,9.75,99.46,,,,85.92,
2008-04-30,10.44,109.49,,,,85.28,
2008-05-31,10.62,111.53,,,,85.41,
2008-06-30,9.64,99.0,,,,85.42,
2008-07-31,9.5,96.27,,,,85.96,
2008-08-31,9.92,93.91,,,,86.78,
2008-09-30,9.16,80.76,,,,85.58,
2008-10-31,8.22,65.05,,,,80.56,
2008-11-30,7.68,60.06,,,,81.75,
2008-12-31,7.24,59.05,,,,85.61,
2009-01-31,7.16,59.91,,,,85.02,
2009-02-28,6.48,57.11,,,,83.72,
2009-03-31,6.67,62.64,,,,85.91,
2009-04-30,7.42,73.23,,,,87.75,
2009-05-31,7.58,80.21,,,,88.6,
2009-06-30,7.61,79.91,,,,89.02,
2009-07-31,8.17,87.95,,,,90.59,
2009-08-31,8.4,86.63,,,,91.77,
2009-09-30,8.57,92.61,,,,92.89,
2009-10-31,8.34,91.88,,,,91.88,
2009-11-30,8.52,94.21,,,,93.09,
2009-12-31,9.07,102.61,,,,92.32,
2010-01-31,8.98,99.76,,,,91.59,
2010-02-28,9.27,101.75,,,,92.0,
2010-03-31,9.92,110.89,,,,94.02,
2010-04-30,10.09,114.13,,,,93.12,
2010-05-31,9.84,112.77,,,,92.75,
2010-06-30,9.57,112.12,,,,91.1,
2010-07-31,9.72,114.17,,,,92.37,
2010-08-31,9.59,114.53,,,,94.38,
2010-09-30,9.75,118.52,,,,93.26,
2010-10-31,9.93,119.65,,,,93.56,
2010-11-30,10.37,124.57,,,,90.02,
2010-12-31,10.8,129.38,,,,90.58,
2011-01-31,10.8,123.11,,,,91.14,
2011-02-28,11.1,120.99,,,,91.69,
2011-03-31,10.69,124.73,,,,91.98,
2011-04-30,10.66,122.95,,,,92.79,
2011-05-31,10.77,123.39,,,,93.95,
2011-06-30,10.51,120.4,,,,93.56,
2011-07-31,10.41,120.95,,,,91.55,
2011-08-31,9.65,109.74,,,,91.37,
2011-09-30,9.46,100.41,,,,90.54,
2011-10-31,10.04,109.56,,,,88.14,
2011-11-30,10.14,105.87,,,,83.38,
2011-12-31,10.5,108.38,,,,88.67,
2012-01-31,10.94,119.68,,,,90.71,
2012-02-29,11.22,124.07,,,,95.62,
2012-03-31,11.41,120.29,,,,94.95,
2012-04-30,11.35,119.39,,,,93.82,
2012-05-31,11.1,113.38,,,,93.49,
2012-06-30,11.37,114.8,,,,93.1,
2012-07-31,11.86,120.57,,,,95.88,
2012-08-31,11.88,117.44,,,,97.9,
2012-09-30,11.95,121.9,,,,100.54,
2012-10-31,11.78,120.22,,,,101.22,
2012-11-30,11.89,121.32,,,,103.64,
2012-12-31,11.94,125.47,,,,104.75,
2013-01-31,12.18,123.64,,,,104.55,
2013-02-28,12.66,126.64,,,,103.59,
2013-03-31,13.19,126.52,,,,103.48,
2013-04-30,13.25,124.24,,,,106.51,
2013-05-31,13.48,123.09,,,,105.99,
2013-06-30,13.11,114.9,,,,102.28,
2013-07-31,13.5,113.57,,,,103.75,
2013-08-31,13.3,112.36,,,,103.03,
2013-09-30,13.6,116.53,,,,103.32,
2013-10-31,14.07,121.58,,,,104.81,
2013-11-30,14.29,119.57,,,,104.87,
2013-12-31,14.42,116.55,,,,104.51,
2014-01-31,14.18,111.22,,,,105.91,
2014-02-28,14.54,112.09,93.29,,135.73,106.82,
2014-03-31,14.59,115.73,93.39,100.0,135.36,107.56,
2014-04-30,14.65,115.36,94.04,100.24,132.26,108.9,
2014-05-31,15.18,121.31,94.93,100.62,135.88,110.58,
2014-06-30,15.4,124.17,95.3,100.75,140.71,111.68,
2014-07-31,15.5,129.45,95.53,100.73,138.12,112.55,
2014-08-31,16.09,134.39,96.69,101.04,144.56,114.17,
2014-09-30,16.32,129.67,96.39,101.05,142.24,113.84,
2014-10-31,16.56,132.31,97.04,101.32,145.98,113.02,
2014-11-30,16.97,131.55,97.95,101.56,147.33,114.33,
2014-12-31,17.2,129.26,98.43,101.43,152.57,113.83,
2015-01-31,18.1,139.37,100.42,102.05,160.61,116.91,
