run,method,oos_vol_pct,cagr_pct,sharpe,maxdd_pct,pred_vol_pct,pred_over_realised,turnover_pct_per_rebal
raw,HRP,2.87,0.67,0.233,-9.89,2.39,0.832,3.1
raw,NCO min-var,2.3,0.45,0.196,-8.98,1.79,0.777,1.8
raw,IVP,2.81,0.69,0.246,-9.81,2.32,0.825,2.6
raw,MinVar (CLA),1.48,1.12,0.761,-5.06,0.94,0.639,9.2
raw,Equal weight,8.66,5.85,0.676,-12.84,8.01,0.924,0.0
raw,Hand 60/40,9.49,7.6,0.801,-13.43,8.96,0.945,0.0
raw,Hand 25/75,5.74,3.54,0.617,-11.65,5.14,0.896,0.0
denoised,HRP,2.83,0.72,0.254,-9.88,2.24,0.793,3.7
denoised,NCO min-var,2.29,0.4,0.173,-8.77,1.77,0.772,1.8
denoised,IVP,2.81,0.69,0.246,-9.81,2.28,0.809,2.6
denoised,MinVar (CLA),2.09,-0.41,-0.198,-7.38,1.4,0.668,7.8
denoised,Equal weight,8.66,5.85,0.676,-12.84,7.88,0.91,0.0
denoised,Hand 60/40,9.49,7.6,0.801,-13.43,8.82,0.93,0.0
denoised,Hand 25/75,5.74,3.54,0.617,-11.65,5.14,0.895,0.0
